name,product_url,image_url,brand,product_mfrpn,old_price,price
Filtru ulei QUINTON HAZELL QFL0068,/filtru-ulei-quinton-hazell-qfl0068-parts-125682083.htm,https://www.epiesa.ro/produse_2018_4/57/tj_qfl0068.jpg,QUINTON HAZELL,QFL0068,None,
Filtru ulei FRAM PH10008,/filtru-ulei-fram-ph10008-parts-128267656.htm,https://www.epiesa.ro/produse_2018_4/59/301.bmp.jpg,FRAM,PH10008,None,
Filtru ulei MAGNETI MARELLI 154096056270,/filtru-ulei-magneti-marelli-154096056270-parts-167348299.htm,/images/no-photo.jpg,MAGNETI MARELLI,154096056270,None,
Filtru ulei MAGNETI MARELLI 359002300540,/filtru-ulei-magneti-marelli-359002300540-parts-172356537.htm,/images/no-photo.jpg,MAGNETI MARELLI,359002300540,None,
Filtru ulei OPTIMAL FO-00009,/filtru-ulei-optimal-fo-00009-parts-211095219.htm,https://www.epiesa.ro/produse_2018_4/129/opt_fo-00009_wm_03.jpg,OPTIMAL,FO-00009,None,
Filtru ulei MAPCO 64804,/filtru-ulei-mapco-64804-parts-215328552.htm,https://www.epiesa.ro/produse_2018_4/133/64804.bmp.jpg,MAPCO,64804,None,
Filtru ulei MEYLE 1001150007,/filtru-ulei-meyle-1001150007-parts-231489122.htm,https://www.epiesa.ro/produse_2018_4/144/fs_1001150007_2.jpg,MEYLE,100 115 0007,None,
Set frana frana disc ROADHOUSE 8141.06,/set-frana-frana-disc-roadhouse-8141-06-parts-239648405.htm,https://www.epiesa.ro/produse_2018_4/152/8141_06.bmp.jpg,ROADHOUSE,8141.06,282,206
Placute frana LPR 05P349,/placute-frana-lpr-05p349-parts-293857908.htm,https://www.epiesa.ro/produse_2018_4/197/05p349.jpg,LPR,05P349,64,44
Placute frana BRECK 214630070210,/placute-frana-breck-214630070210-parts-365465698.htm,https://www.epiesa.ro/produse_2018_4/281/21463 00 702 10_2_small.jpg,BRECK,21463 00 702 10,145,111
Placute frana COMLINE CBP1431,/placute-frana-comline-cbp1431-parts-450957931.htm,https://www.epiesa.ro/produse_2018_4/421/cbp1431-630705.jpg,COMLINE,CBP1431,82,54
Placute frana ABE C1P000ABE,/placute-frana-abe-c1p000abe-parts-535089001.htm,https://www.epiesa.ro/produse_2018_4/4426/c1p000abe_3.jpg,ABE,C1P000ABE,104,72
Placute frana KRIEGER 0950006000,/placute-frana-krieger-0950006000-parts-720200353.htm,/images/no-photo.jpg,KRIEGER,0950006000,72,49
Placute frana KROTTENDORF KRO1332,/placute-frana-krottendorf-kro1332-parts-720638000.htm,/images/no-photo.jpg,KROTTENDORF,KRO1332,70,47
Set garnituri etansare arbore motor CORTECO 289077,/set-garnituri-etansare-arbore-motor-corteco-289077-parts-227973497.htm,https://www.epiesa.ro/produse_2018_4/140/engine.bmp.jpg,CORTECO,289077,252,185
Set garnituri etansare arbore motor CORTECO 289086,/set-garnituri-etansare-arbore-motor-corteco-289086-parts-227974673.htm,https://www.epiesa.ro/produse_2018_4/140/engine.bmp.jpg,CORTECO,289086,340,250
Set garnituri etansare arbore motor CORTECO 289092,/set-garnituri-etansare-arbore-motor-corteco-289092-parts-227975416.htm,https://www.epiesa.ro/produse_2018_4/140/engine.bmp.jpg,CORTECO,289092,295,216
Set pompa apa + curea dintata HEPU PK05500,/set-pompa-apa-curea-dintata-hepu-pk05500-parts-279419593.htm,https://www.epiesa.ro/produse_2018_4/178/pk05500.bmp.jpg,HEPU,PK05500,708,545
Set pompa apa + curea dintata HEPU PK05510,/set-pompa-apa-curea-dintata-hepu-pk05510-parts-279420138.htm,https://www.epiesa.ro/produse_2018_4/178/pk05510.bmp.jpg,HEPU,PK05510,1119,835
Set pompa apa + curea dintata HEPU PK05540,/set-pompa-apa-curea-dintata-hepu-pk05540-parts-279421020.htm,https://www.epiesa.ro/produse_2018_4/178/pk05540.bmp.jpg,HEPU,PK05540,779,595
Set pompa apa + curea dintata HEPU PK05650,/set-pompa-apa-curea-dintata-hepu-pk05650-parts-279423976.htm,https://www.epiesa.ro/produse_2018_4/178/pk05650.bmp.jpg,HEPU,PK05650,696,536
Set pompa apa + curea dintata HEPU PK05690,/set-pompa-apa-curea-dintata-hepu-pk05690-parts-279424521.htm,https://www.epiesa.ro/produse_2018_4/178/pk05690.bmp.jpg,HEPU,PK05690,632,487
Filtru ulei HENGST FILTER H90W03,/filtru-ulei-hengst-filter-h90w03-parts-150855670.htm,https://www.epiesa.ro/produse_2018_4/81/d292856001-001.jpg,HENGST FILTER,H90W03,None,
Filtru ulei TECNOCAR R294,/filtru-ulei-tecnocar-r294-parts-161025987.htm,https://www.epiesa.ro/produse_2018_4/91/301.bmp.jpg,TECNOCAR,R294,None,
Filtru ulei MAGNETI MARELLI 152071758775,/filtru-ulei-magneti-marelli-152071758775-parts-166960092.htm,https://www.epiesa.ro/produse_2018_4/95/fmh_214g_wr.jpg,MAGNETI MARELLI,152071758775,None,
Filtru ulei MAGNETI MARELLI 154076895650,/filtru-ulei-magneti-marelli-154076895650-parts-167282744.htm,https://www.epiesa.ro/produse_2018_4/95/fmf_oc501_wr.jpg,MAGNETI MARELLI,154076895650,None,
Filtru ulei MAGNETI MARELLI 154077444599,/filtru-ulei-magneti-marelli-154077444599-parts-167288355.htm,/images/no-photo.jpg,MAGNETI MARELLI,154077444599,None,
Filtru ulei MAGNETI MARELLI 359002300250,/filtru-ulei-magneti-marelli-359002300250-parts-172351126.htm,/images/no-photo.jpg,MAGNETI MARELLI,359002300250,None,
Filtru ulei MAGNETI MARELLI 600000028200,/filtru-ulei-magneti-marelli-600000028200-parts-176310433.htm,https://www.epiesa.ro/produse_2018_4/95/j1310900.jpg,MAGNETI MARELLI,600000028200,None,
Filtru ulei FEBI BILSTEIN 32122,/filtru-ulei-febi-bilstein-32122-parts-185867121.htm,https://www.epiesa.ro/produse_2018_4/101/32122_1.jpg,FEBI BILSTEIN,32122,None,
Filtru ulei SWAG 30922544,/filtru-ulei-swag-30922544-parts-236050544.htm,https://www.epiesa.ro/produse_2018_4/151/30 92 2544_1.jpg,SWAG,30 92 2544,None,
Filtru ulei JAPANPARTS FO-ECO008,/filtru-ulei-japanparts-fo-eco008-parts-242537647.htm,https://www.epiesa.ro/produse_2018_4/156/fo-eco008_1.jpg,JAPANPARTS,FO-ECO008,None,
